date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_nl,cet1_nl,gdp_nl,defl_nl,credit_nl,shadow_rate,d_ssr
2015-01-01,-0.2,0.0,0.04601616161616163,-0.19107351799245262,0.4206666666666667,,,2586.9757252728587,459.4048409453186,1366.5221246781564,-2.2081400867082257,0.07001861281813193
2015-04-01,-0.2,0.0,-0.006525837320574167,-0.2563808952749823,0.7073333333333333,1.5,13.51,2587.2834440346974,460.5270263871983,1366.1875967162384,-1.352284613508166,0.8558554732000596
2015-07-01,-0.2,0.0,-0.027817083882301297,-0.28147212435611446,0.9016666666666667,1.5,13.87,2587.6279994123865,461.19744850226397,1365.6703554267358,-1.598649752759144,-0.2463651392509778
2015-10-01,-0.3,-0.09999999999999998,-0.08917604617604624,-0.34059778032286403,0.7316666666666666,1.49,14.27,2587.6440892867704,460.9483339969049,1365.143708746017,-2.2479099933617666,-0.6492602406026227
2016-01-01,-0.4,-0.10000000000000003,-0.18608174603174632,-0.4628205584051385,0.44566666666666666,1.46,14.21,2588.557251137967,460.71335238215926,1364.7534806272267,-2.783839587231435,-0.5359295938696684
2016-04-01,-0.4,0.0,-0.258093795093795,-0.542110204946351,0.34299999999999997,1.44,14.53,2588.7931117878247,460.97205961368684,1364.7010246200477,-2.943120128156322,-0.15928054092488697
2016-07-01,-0.4,0.0,-0.298125854821507,-0.6504693915061651,0.049999999999999996,1.44,14.8,2589.9050757227265,461.0012811004297,1364.9264692058864,-3.5656672338455824,-0.6225471056892604
2016-10-01,-0.4,0.0,-0.312481240981241,-0.762100666744095,0.3256666666666667,1.49,15.31,2590.738900774692,461.23254583392213,1364.850707808127,-2.7423984852444545,0.8232687486011279
2017-01-01,-0.4,0.0,-0.32783109354413736,-0.7953792936740324,0.484,1.45,15.56,2591.2623217514456,461.45518515967944,1365.003471207533,-2.1374467955657326,0.6049516896787219
2017-04-01,-0.4,0.0,-0.3299478114478113,-0.7409000453152006,0.5299999999999999,1.51,15.88,2592.1392799750874,462.23686331291515,1364.7690937929422,-1.928258768961262,0.20918802660447056
2017-07-01,-0.4,0.0,-0.3296321601104207,-0.724456099260458,0.5873333333333334,1.49,15.93,2592.844935875951,462.38859874253,1364.380762351846,-1.8647138551496711,0.06354491381159089
2017-10-01,-0.4,0.0,-0.32881339712918667,-0.7822414624914381,0.48700000000000004,1.56,16.29,2593.577675483793,462.97179024476713,1363.8243008134173,-1.9114786700829611,-0.04676481493328999
2018-01-01,-0.4,0.0,-0.32828643578643596,-0.6718393120769638,0.666,1.48,15.86,2594.0823209471305,464.04391252906373,1363.4988980235598,-1.2131185182123418,0.6983601518706193
2018-04-01,-0.4,0.0,-0.32524163059163064,-0.6776723703319517,0.642,1.5,16.1,2594.7315372415505,463.93758900243427,1363.5715008126763,-1.262273140392044,-0.04915462217970212
