date,policy_rate,inflation,credit_growth,gdp_growth,nim_ea,nim_de,nim_es,nim_it,nim_fr,nim_nl,cet1_ea,cet1_de,cet1_es,cet1_it,cet1_fr,cet1_nl,yield_de,yield_es,yield_it,yield_fr,yield_nl,shadow_rate
2015-04-01,-0.2,0.4333333333333333,-0.6216658068695832,0.4179391453908776,1.55,1.12,2.31,1.57,1.34,1.5,12.72,13.37,12.22,11.54,12.58,13.51,0.4901722488,1.7724453748006403,1.7893333333333334,0.8388333333333332,0.7073333333333333,-1.352284613508166
2015-07-01,-0.2,0.3666666666666667,-0.02302422469898643,0.439258569747647,1.55,1.09,2.38,1.59,1.34,1.5,12.77,13.21,12.04,11.6,12.6,13.87,0.6575541125666667,2.027076761402846,1.9336666666666666,1.0400666666666667,0.9016666666666667,-1.598649752759144
2015-10-01,-0.2333333333333333,0.26666666666666666,0.5293887163452545,0.4958823345642349,1.54,1.09,2.36,1.61,1.34,1.49,13.52,14.87,12.5,11.54,13.06,14.27,0.5266240981333333,1.7138225108225134,1.615,0.8931999999999999,0.7316666666666666,-2.2479099933617666
2016-01-01,-0.3333333333333333,0.06666666666666667,1.3200363652300446,0.4824093740523061,1.46,1.06,2.26,1.52,1.23,1.46,13.31,14.29,12.14,11.4,13.15,14.21,0.25826190476666666,1.6674119047619034,1.489,0.6488666666666667,0.44566666666666666,-2.783839587231435
2016-04-01,-0.4000000000000001,-0.13333333333333333,1.7394293529710965,0.1828550726792333,1.45,1.02,2.24,1.5,1.24,1.44,13.51,14.27,12.35,11.74,13.24,14.53,0.08344155846666668,1.5199927849927866,1.4736666666666667,0.47046666666666664,0.34299999999999997,-2.943120128156322
2016-07-01,-0.4000000000000001,0.26666666666666666,2.0591734707788114,0.4851621891647451,1.47,1.03,2.3,1.51,1.26,1.44,13.69,14.42,12.73,11.92,13.27,14.8,-0.12337191793333331,1.0747695589434734,1.223,0.16923333333333335,0.049999999999999996,-3.5656672338455824
2016-10-01,-0.4000000000000001,0.7333333333333334,2.2300196930701435,0.7708393241821376,1.49,1.06,2.3,1.48,1.26,1.49,13.78,15.08,12.59,10.4,13.81,15.31,0.14766522366666668,1.3110346320346336,1.7596666666666667,0.5816666666666667,0.3256666666666667,-2.7423984852444545
2017-01-01,-0.4000000000000001,1.7333333333333334,2.2897972242824194,0.8132904559414955,1.47,1.0,2.39,1.41,1.24,1.45,13.74,14.77,11.93,11.44,13.82,15.56,0.2857233201666667,1.6289466403162034,2.2479999999999998,0.9705,0.484,-2.1374467955657326
2017-04-01,-0.4000000000000001,1.5333333333333332,2.3826515982956633,0.6546674810400388,1.47,0.98,2.37,1.39,1.24,1.51,13.88,14.98,11.56,11.83,13.95,15.88,0.2707984608333333,1.54616835016835,2.1679999999999997,0.7816666666666666,0.5299999999999999,-1.928258768961262
2017-07-01,-0.4000000000000001,1.4666666666666668,2.4484426237524484,0.7358397368893099,1.46,0.95,2.38,1.39,1.22,1.49,14.32,15.88,12.35,13.17,13.83,15.93,0.3829813664333333,1.5413196248196233,2.15,0.7493,0.5873333333333334,-1.8647138551496711
2017-10-01,-0.4000000000000001,1.4000000000000001,3.0787090551866716,0.8142886695016394,1.49,0.98,2.41,1.39,1.25,1.56,14.64,16.25,12.42,13.28,14.27,16.29,0.3258413078333333,1.5150287081339735,1.886,0.7357999999999999,0.48700000000000004,-1.9114786700829611
2018-01-01,-0.4000000000000001,1.2666666666666666,3.35816209538727,0.044940046901587,1.43,0.84,2.39,1.48,1.2,1.48,14.16,15.35,11.67,13.19,13.98,15.86,0.5543564213333334,1.4470942279942298,2.0100000000000002,0.8900666666666668,0.666,-1.2131185182123418
2018-04-01,-0.4000000000000001,1.7333333333333334,3.7678892396771544,0.5073608444867928,1.43,0.88,2.38,1.48,1.17,1.5,14.1,15.4,11.54,12.75,13.91,16.1,0.4190476190333334,1.3256743145743133,2.2323333333333335,0.7714666666666666,0.642,-1.262273140392044
2018-07-01,-0.4000000000000001,2.1333333333333333,4.281483925555289,0.0849593055280983,1.43,0.91,2.37,1.48,1.16,1.47,14.19,15.5,11.75,12.73,13.99,16.04,0.31197167323333336,1.37724558629776,2.921,0.7127666666666667,0.49933333333333335,-1.4195203530212608
