date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_fr,cet1_fr,gdp_fr,defl_fr,credit_fr,shadow_rate,d_ssr
2015-01-01,-0.2,0.0,0.04601616161616163,-0.19107351799245262,0.5912000000000001,,,2701.8945774842764,460.16723344075115,1454.8868186087748,-2.2081400867082257,0.07001861281813193
2015-04-01,-0.2,0.0,-0.006525837320574167,-0.2563808952749823,0.8388333333333332,1.34,12.58,2702.0582317741496,460.3350625173052,1455.7992992200607,-1.352284613508166,0.8558554732000596
2015-07-01,-0.2,0.0,-0.027817083882301297,-0.28147212435611446,1.0400666666666667,1.34,12.6,2702.2679681742366,460.67637186678303,1456.7050381131135,-1.598649752759144,-0.2463651392509778
2015-10-01,-0.3,-0.09999999999999998,-0.08917604617604624,-0.34059778032286403,0.8931999999999999,1.34,13.06,2702.4652551938298,460.87391465495386,1457.6847554314909,-2.2479099933617666,-0.6492602406026227
2016-01-01,-0.4,-0.10000000000000003,-0.18608174603174632,-0.4628205584051385,0.6488666666666667,1.23,13.15,2703.0859597391814,461.07465918809504,1458.5043305464856,-2.783839587231435,-0.5359295938696684
2016-04-01,-0.4,0.0,-0.258093795093795,-0.542110204946351,0.47046666666666664,1.24,13.24,2702.712141042644,460.95276308010574,1459.616879620821,-2.943120128156322,-0.15928054092488697
2016-07-01,-0.4,0.0,-0.298125854821507,-0.6504693915061651,0.16923333333333335,1.26,13.27,2703.100082443639,461.0380816626692,1460.3140454862937,-3.5656672338455824,-0.6225471056892604
2016-10-01,-0.4,0.0,-0.312481240981241,-0.762100666744095,0.5816666666666667,1.26,13.81,2703.7017847928537,461.09512813739303,1461.1493920731623,-2.7423984852444545,0.8232687486011279
2017-01-01,-0.4,0.0,-0.32783109354413736,-0.7953792936740324,0.9705,1.24,13.82,2704.326405058836,461.3414194973691,1462.5064716736567,-2.1374467955657326,0.6049516896787219
2017-04-01,-0.4,0.0,-0.3299478114478113,-0.7409000453152006,0.7816666666666666,1.24,13.95,2705.2038521213385,461.5042634273798,1463.779766944683,-1.928258768961262,0.20918802660447056
2017-07-01,-0.4,0.0,-0.3296321601104207,-0.724456099260458,0.7493,1.22,13.83,2706.0900090707855,461.61353475703083,1465.0026939291968,-1.8647138551496711,0.06354491381159089
2017-10-01,-0.4,0.0,-0.32881339712918667,-0.7822414624914381,0.7357999999999999,1.25,14.27,2706.684376486541,461.7487050213768,1466.552301620874,-1.9114786700829611,-0.04676481493328999
2018-01-01,-0.4,0.0,-0.32828643578643596,-0.6718393120769638,0.8900666666666668,1.2,13.98,2706.6714719268184,462.1561381747815,1467.8155335378385,-1.2131185182123418,0.6983601518706193
2018-04-01,-0.4,0.0,-0.32524163059163064,-0.6776723703319517,0.7714666666666666,1.17,13.91,2707.1326799909875,462.32084189168523,1469.1917743726576,-1.262273140392044,-0.04915462217970212
2018-07-01,-0.4,0.0,-0.3195257575757577,-0.6653850299202058,0.7127666666666667,1.16,13.99,2707.5848890728766,462.7049037360007,1470.5842455928093,-1.4195203530212608,-0.15724721262921681
2018-10-01,-0.4,0.0,-0.31531800845988467,-0.7039966995708068,0.7609333333333334,1.17,14.35,2708.1340138923883,462.9961284581553,1472.188953024138,-1.2585859379783686,0.1609344150428922
2019-01-01,-0.4,0.0,-0.3085468253968253,-0.5956010811279476,0.5446333333333333,1.1,14.33,2708.819265403031,463.3825853947995,1473.31700859428,-1.6809078454968416,-0.422321907518473
2019-04-01,-0.4,0.0,-0.31707121212121203,-0.62165374021382,0.25146666666666667,1.1,14.54,2709.4754770641803,463.63065345608175,1475.0080142400252,-2.229125920389082,-0.5482180748922405
2019-07-01,-0.5,-0.09999999999999998,-0.39670760399021265,-0.7715982914566095,-0.22853333333333334,1.08,14.51,2709.5591788119705,463.99104370517205,1476.7088250280938,-3.8010388308985963,-1.5719129105095142
2019-10-01,-0.5,0.0,-0.4029517598343683,-0.6702383127938005,-0.046433333333333326,1.13,15.3,2709.1559878651133,464.24786610306495,1477.845584187744,-3.2857957831215665,0.5152430477770298
2020-01-01,-0.5,0.0,-0.4055409090909093,-0.6779279697819203,-0.08020000000000001,1.06,14.65,2703.7029077458874,465.4693243556068,1478.8692016001376,-2.5152862437136467,0.7705095394079198
2020-04-01,-0.5,0.0,-0.3006666666666667,-0.6174826982521057,-0.005366666666666666,1.01,15.06,2689.6207626181676,469.09734386492346,1481.8591153406883,-2.3966787841918253,0.11860745952182139
2020-07-01,-0.5,0.0,-0.4717361189535103,-0.6372423091255274,-0.17453333333333335,1.0,15.35,2705.7560757672622,465.4870461109957,1483.7580837690002,-2.477503656614483,-0.08082487242265746
2020-10-01,-0.5,0.0,-0.5226948051948054,-0.7270324244760122,-0.3182,1.02,15.92,2705.1112259450297,466.7246294310262,1484.9863397661666,-2.7423680641898613,-0.26486440757537855
2021-01-01,-0.5,0.0,-0.542445652173913,-0.6817923451480228,-0.17533333333333334,0.98,15.8,2705.1575229819628,467.66348687288496,1485.7174293123157,-2.358996961006913,0.3833711031829483
2021-04-01,-0.5,0.0,-0.5403847763347763,-0.6869436935186485,0.11893333333333334,0.99,15.88,2706.053111749456,468.0718073715686,1486.5367031873004,-2.0281967744898766,0.33080018651703647
2021-07-01,-0.5,0.0,-0.5458181818181816,-0.7270800543433031,-0.02836666666666667,0.97,15.77,2708.960998804297,468.0921537861969,1488.0312325296075,-2.0980098079982397,-0.0698130335083631
2021-10-01,-0.5,0.0,-0.5663765606374299,-0.7711943532035069,0.11653333333333334,0.98,16.06,2709.4909478544614,468.3012617679264,1489.512779982195,-1.104579991634524,0.9934298163637156
2022-01-01,-0.5,0.0,-0.529025879933851,-0.6440142765325547,0.5919333333333333,0.96,15.36,2709.387513050719,469.182479369269,1490.823733873685,-0.45508182434162436,0.6494981672928997
2022-04-01,-0.5,0.0,-0.35761642743221705,-0.09147505928284842,1.6197,0.98,15.28,2709.7771271491424,470.1895564177715,1492.5036959323238,0.13309197029585612,0.5881737946374805
2022-07-01,0.375,0.875,0.4807406048058236,0.5990098632581939,1.9340000000000002,0.96,14.96,2710.2733244041265,471.63865381514745,1494.3549709210185,0.9641465815365446,0.8310546112406885
2022-10-01,1.75,1.375,1.7721233766233766,2.0034943889010672,2.6576,1.01,15.58,2710.271916692632,472.7077362690901,1495.7812618478918,2.406973720705214,1.4428271391686693
2023-01-01,2.75,1.0,2.631926284584983,2.7882159535012936,2.8264666666666667,0.87,16.03,2710.331023520021,474.44973853527654,1496.1474304402238,3.1516502412917298,0.7446765205865158
2023-04-01,3.375,0.625,3.356432806324113,3.0694670557019275,2.9247333333333336,0.89,16.06,2710.9435139997354,476.0397633341645,1496.63928749711,3.5083048601693836,0.3566546188776538
2023-07-01,3.875,0.5,3.7773871635610767,3.44153993286,3.1300000000000003,0.89,15.84,2710.8287202424954,476.7049654191093,1496.922773986116,3.852122220311377,0.3438173601419936
2023-10-01,3.875,0.0,3.957455988455987,3.3362831094301586,3.0986333333333334,0.91,16.1,2710.8287202424954,476.7049654191093,1497.28166120808,3.649820347827656,-0.2023018724837211
2024-01-01,3.875,0.0,3.9236147186147203,3.2256574667666666,2.804933333333333,0.87,15.9,2710.8287202424954,476.7049654191093,1497.0370426035472,3.5082068348345445,-0.14161351299311153
2024-04-01,3.75,-0.125,3.808171936758893,3.258066867679365,3.051766666666667,0.89,15.88,2710.8287202424954,476.7049654191093,1497.255851234001,3.5675258272331214,0.05931899239857685
2024-07-01,3.5,-0.25,3.5553770939205704,2.834862513457576,3.0117999999999996,0.89,15.72,2710.8287202424954,476.7049654191093,1497.5422273396478,3.134941681647609,-0.4325841455855124
2024-10-01,3.125,-0.375,2.9964871698349937,2.326711740726984,3.0335666666666667,0.89,16.09,2710.8287202424954,476.7049654191093,1498.0157955656757,2.5353919645504015,-0.5995497170972075
2025-01-01,2.625,-0.5,2.5568363354,2.1887812707793652,3.3150333333333335,0.9,15.86,2710.8287202424954,476.7049654191093,1498.0806669131214,2.312963616589141,-0.22242834796126054
2025-04-01,2.125,-0.5,2.1076911977,1.8223808436435485,3.264033333333334,0.89,16.0,2710.8287202424954,476.7049654191093,1498.4888501365688,1.8280410635548237,-0.4849225530343173
2025-07-01,,,2.0115719305,1.8734979863651515,3.4233333333333333,0.91,15.97,2710.8287202424954,476.7049654191093,1499.0353065227207,1.783202939440973,-0.044838124113850686
2025-10-01,,,2.040622463766667,1.9477280748953125,3.4768333333333334,0.93,16.17,2710.8287202424954,476.7049654191093,1499.4384094526831,1.83674956361126,0.053546624170287105
2026-01-01,,,2.0277272727,,3.4858,,,2710.8287202424954,476.7049654191093,,1.9155848818949748,0.0788353182837147
2026-04-01,,,,,3.70825,,,2710.8287202424954,476.7049654191093,,2.2719401964192434,0.3563553145242686
