date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_es,cet1_es,gdp_es,defl_es,credit_es,shadow_rate,d_ssr
2015-01-01,-0.2,0.0,0.04601616161616163,-0.19107351799245262,1.427004473304473,,,2630.6562877755264,460.68514585498957,1410.762578942979,-2.2081400867082257,0.07001861281813193
2015-04-01,-0.2,0.0,-0.006525837320574167,-0.2563808952749823,1.7724453748006403,2.31,12.22,2631.5516943486305,460.50723707530364,1410.1837712929778,-1.352284613508166,0.8558554732000596
2015-07-01,-0.2,0.0,-0.027817083882301297,-0.28147212435611446,2.027076761402846,2.38,12.04,2632.4469109688503,460.5006761284846,1408.8118839527845,-1.598649752759144,-0.2463651392509778
2015-10-01,-0.3,-0.09999999999999998,-0.08917604617604624,-0.34059778032286403,1.7138225108225134,2.36,12.5,2633.29354147689,460.3789531404707,1408.3442881721778,-2.2479099933617666,-0.6492602406026227
2016-01-01,-0.4,-0.10000000000000003,-0.18608174603174632,-0.4628205584051385,1.6674119047619034,2.26,12.14,2634.0338707256856,460.44134087284573,1406.8958523449992,-2.783839587231435,-0.5359295938696684
2016-04-01,-0.4,0.0,-0.258093795093795,-0.542110204946351,1.5199927849927866,2.24,12.35,2634.7182254992026,460.71171995165787,1406.316745376877,-2.943120128156322,-0.15928054092488697
2016-07-01,-0.4,0.0,-0.298125854821507,-0.6504693915061651,1.0747695589434734,2.3,12.73,2635.9158403056917,461.0563558853032,1405.5251343348486,-3.5656672338455824,-0.6225471056892604
2016-10-01,-0.4,0.0,-0.312481240981241,-0.762100666744095,1.3110346320346336,2.3,12.59,2636.53714697301,461.1353785570767,1405.138709959466,-2.7423984852444545,0.8232687486011279
2017-01-01,-0.4,0.0,-0.32783109354413736,-0.7953792936740324,1.6289466403162034,2.39,11.93,2637.901985725858,461.71810133643856,1404.2951528796348,-2.1374467955657326,0.6049516896787219
2017-04-01,-0.4,0.0,-0.3299478114478113,-0.7409000453152006,1.54616835016835,2.37,11.56,2639.2021989678933,461.9991660745869,1404.3792352534606,-1.928258768961262,0.20918802660447056
2017-07-01,-0.4,0.0,-0.3296321601104207,-0.724456099260458,1.5413196248196233,2.38,12.35,2639.7763671775115,461.945691952132,1403.239751085525,-1.8647138551496711,0.06354491381159089
2017-10-01,-0.4,0.0,-0.32881339712918667,-0.7822414624914381,1.5150287081339735,2.41,12.42,2641.2083562877237,462.83980172739473,1403.2683520735006,-1.9114786700829611,-0.04676481493328999
2018-01-01,-0.4,0.0,-0.32828643578643596,-0.6718393120769638,1.4470942279942298,2.39,11.67,2641.489812951672,462.6951662977168,1402.190176912277,-1.2131185182123418,0.6983601518706193
2018-04-01,-0.4,0.0,-0.32524163059163064,-0.6776723703319517,1.3256743145743133,2.38,11.54,2642.5700737365505,463.19125643524524,1402.174040901126,-1.262273140392044,-0.04915462217970212
2018-07-01,-0.4,0.0,-0.3195257575757577,-0.6653850299202058,1.37724558629776,2.37,11.75,2643.3917994538233,463.49391612449926,1401.7899412908341,-1.4195203530212608,-0.15724721262921681
2018-10-01,-0.4,0.0,-0.31531800845988467,-0.7039966995708068,1.52739494487206,2.38,11.93,2644.625599071038,464.07062039349034,1401.4651811699202,-1.2585859379783686,0.1609344150428922
2019-01-01,-0.4,0.0,-0.3085468253968253,-0.5956010811279476,1.26219329004329,2.32,11.77,2645.7008327845438,464.5388386520305,1400.3485824600732,-1.6809078454968416,-0.422321907518473
2019-04-01,-0.4,0.0,-0.31707121212121203,-0.62165374021382,0.8137939393939394,2.35,11.89,2646.008971567961,464.5013751119772,1400.8298264149298,-2.229125920389082,-0.5482180748922405
2019-07-01,-0.5,-0.09999999999999998,-0.39670760399021265,-0.7715982914566095,0.22676137147876266,2.35,11.92,2646.4318405585987,464.62967827337155,1400.6140283920245,-3.8010388308985963,-1.5719129105095142
2019-10-01,-0.5,0.0,-0.4029517598343683,-0.6702383127938005,0.341324706694272,2.35,12.21,2647.558129984801,465.53903373587826,1400.4620135042219,-3.2857957831215665,0.5152430477770298
2020-01-01,-0.5,0.0,-0.4055409090909093,-0.6779279697819203,0.4007939393939393,2.27,11.85,2642.1439277004747,465.65927632346995,1400.073927376239,-2.5152862437136467,0.7705095394079198
