date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_it,cet1_it,gdp_it,defl_it,credit_it,shadow_rate,d_ssr
2015-01-01,-0.2,0.0,0.04601616161616163,-0.19107351799245262,1.5176666666666667,,,2674.291542758741,,1419.4898823655637,-2.2081400867082257,0.07001861281813193
2015-04-01,-0.2,0.0,-0.006525837320574167,-0.2563808952749823,1.7893333333333334,1.57,11.54,2674.6715609081825,-230.25850929940455,1419.6524718723115,-1.352284613508166,0.8558554732000596
2015-07-01,-0.2,0.0,-0.027817083882301297,-0.28147212435611446,1.9336666666666666,1.59,11.6,2674.8810261495755,-120.39728043259362,1420.0662295035545,-1.598649752759144,-0.2463651392509778
2015-10-01,-0.3,-0.09999999999999998,-0.08917604617604624,-0.34059778032286403,1.615,1.61,11.54,2675.365417813157,-179.1759469228055,1420.5444569452177,-2.2479099933617666,-0.6492602406026227
2016-01-01,-0.4,-0.10000000000000003,-0.18608174603174632,-0.4628205584051385,1.489,1.52,11.4,2675.714455039613,-179.1759469228055,1420.34666065377,-2.783839587231435,-0.5359295938696684
2016-04-01,-0.4,0.0,-0.258093795093795,-0.542110204946351,1.4736666666666667,1.5,11.74,2675.9097447386175,-179.1759469228055,1420.4225721262865,-2.943120128156322,-0.15928054092488697
2016-07-01,-0.4,0.0,-0.298125854821507,-0.6504693915061651,1.223,1.51,11.92,2676.441300700684,-179.1759469228055,1420.4363105099735,-3.5656672338455824,-0.6225471056892604
2016-10-01,-0.4,0.0,-0.312481240981241,-0.762100666744095,1.7596666666666667,1.48,10.4,2676.8144602691164,-179.1759469228055,1420.591346517976,-2.7423984852444545,0.8232687486011279
2017-01-01,-0.4,0.0,-0.32783109354413736,-0.7953792936740324,2.2479999999999998,1.41,11.44,2677.2895984955567,28.768207245178086,1420.6066857819199,-2.1374467955657326,0.6049516896787219
2017-04-01,-0.4,0.0,-0.3299478114478113,-0.7409000453152006,2.1679999999999997,1.39,11.83,2677.7331404449014,47.000362924573544,1420.283477732366,-1.928258768961262,0.20918802660447056
2017-07-01,-0.4,0.0,-0.3296321601104207,-0.724456099260458,2.15,1.39,13.17,2678.116679056762,26.236426446749107,1419.348090334613,-1.8647138551496711,0.06354491381159089
2017-10-01,-0.4,0.0,-0.32881339712918667,-0.7822414624914381,1.886,1.39,13.28,2678.666608782634,6.453852113757116,1419.5483711871445,-1.9114786700829611,-0.04676481493328999
2018-01-01,-0.4,0.0,-0.32828643578643596,-0.6718393120769638,2.0100000000000002,1.48,13.19,2678.570059930799,-14.310084364067329,1420.0804477532574,-1.2131185182123418,0.6983601518706193
2018-04-01,-0.4,0.0,-0.32524163059163064,-0.6776723703319517,2.2323333333333335,1.48,12.75,2678.6302858835325,0.0,1420.2740862431529,-1.262273140392044,-0.04915462217970212
2018-07-01,-0.4,0.0,-0.3195257575757577,-0.6653850299202058,2.921,1.48,12.73,2678.7077789462446,51.08256237659907,1420.3451906849502,-1.4195203530212608,-0.15724721262921681
2018-10-01,-0.4,0.0,-0.31531800845988467,-0.7039966995708068,3.278,1.5,12.71,2679.0063712295464,40.546510810816436,1420.2135975004321,-1.2585859379783686,0.1609344150428922
2019-01-01,-0.4,0.0,-0.3085468253968253,-0.5956010811279476,2.7573333333333334,1.44,13.06,2679.0928634339534,3.278982282299097,1420.0181400598935,-1.6809078454968416,-0.422321907518473
2019-04-01,-0.4,0.0,-0.31707121212121203,-0.62165374021382,2.515333333333333,1.44,13.31,2679.423079086324,-6.899287148695131,1419.8005186426196,-2.229125920389082,-0.5482180748922405
2019-07-01,-0.5,-0.09999999999999998,-0.39670760399021265,-0.7715982914566095,1.32,1.4,13.62,2679.4848473502034,-109.86122886681098,1419.3326024667454,-3.8010388308985963,-1.5719129105095142
2019-10-01,-0.5,0.0,-0.4029517598343683,-0.6702383127938005,1.2133333333333334,1.41,13.97,2678.828888384725,-120.39728043259362,1418.8205657867952,-3.2857957831215665,0.5152430477770298
2020-01-01,-0.5,0.0,-0.4055409090909093,-0.6779279697819203,1.2603333333333333,1.34,14.03,2672.5965532739883,-145.5287232606842,1419.0960804295996,-2.5152862437136467,0.7705095394079198
2020-04-01,-0.5,0.0,-0.3006666666666667,-0.6174826982521057,1.672,1.28,14.78,2660.139425871971,-145.5287232606842,1420.2203680815578,-2.3966787841918253,0.11860745952182139
2020-07-01,-0.5,0.0,-0.4717361189535103,-0.6372423091255274,1.0696666666666668,1.2,15.13,2673.003713571676,-145.5287232606842,1421.6252083054624,-2.477503656614483,-0.08082487242265746
2020-10-01,-0.5,0.0,-0.5226948051948054,-0.7270324244760122,0.6706666666666666,1.2,15.5,2672.6074792235004,-145.5287232606842,1422.3910023298824,-2.7423680641898613,-0.26486440757537855
2021-01-01,-0.5,0.0,-0.542445652173913,-0.6817923451480228,0.6366666666666666,1.14,15.51,2674.2048327932616,-26.57031657330058,1422.3347517673897,-2.358996961006913,0.3833711031829483
2021-04-01,-0.5,0.0,-0.5403847763347763,-0.6869436935186485,0.8853333333333334,1.13,15.4,2676.7351059581674,15.415067982725835,1422.5656692950975,-2.0281967744898766,0.33080018651703647
2021-07-01,-0.5,0.0,-0.5458181818181816,-0.7270800543433031,0.7176666666666667,1.13,15.3,2679.4665470552363,75.76857016975165,1422.6494630753389,-2.0980098079982397,-0.0698130335083631
2021-10-01,-0.5,0.0,-0.5663765606374299,-0.7711943532035069,1.004,1.16,15.31,2680.2698449105364,132.61904370501853,1423.2811566855655,-1.104579991634524,0.9934298163637156
2022-01-01,-0.5,0.0,-0.529025879933851,-0.6440142765325547,1.6646666666666665,1.16,14.6,2680.3570130224607,179.72996496036703,1413.324427235721,-0.45508182434162436,0.6494981672928997
2022-04-01,-0.5,0.0,-0.35761642743221705,-0.09147505928284842,3.0203333333333333,1.22,14.9,2681.7406098857655,199.69653198555974,1414.4318498761984,0.13309197029585612,0.5881737946374805
2022-07-01,0.375,0.875,0.4807406048058236,0.5990098632581939,3.5980000000000003,1.28,14.7,2682.041249799395,219.35139979396837,1415.6372905834542,0.9641465815365446,0.8310546112406885
2022-10-01,1.75,1.375,1.7721233766233766,2.0034943889010672,4.344,1.48,15.7,2681.8910428229847,252.57286443082558,1414.7698630646435,2.406973720705214,1.4428271391686693
2023-01-01,2.75,1.0,2.631926284584983,2.7882159535012936,4.251,1.86,15.44,2682.4578465509962,225.47944291576974,1413.9442347991005,3.1516502412917298,0.7446765205865158
2023-04-01,3.375,0.625,3.356432806324113,3.0694670557019275,4.207,2.02,15.95,2682.080379554159,204.9841071903545,1413.0655062050164,3.5083048601693836,0.3566546188776538
2023-07-01,3.875,0.5,3.7773871635610767,3.44153993286,4.297,2.1,16.18,2682.179192714439,175.78579175523737,1412.0132339941833,3.852122220311377,0.3438173601419936
