date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_de,cet1_de,gdp_de,defl_de,credit_de,shadow_rate,d_ssr
2015-01-01,-0.2,0.0,0.04601616161616163,-0.19107351799245262,0.3064242424333333,,,2733.7283411760413,460.01730642634914,1468.790722021282,-2.2081400867082257,0.07001861281813193
2015-04-01,-0.2,0.0,-0.006525837320574167,-0.2563808952749823,0.4901722488,1.12,13.37,2734.909312362613,460.42374097378615,1469.2065926942353,-1.352284613508166,0.8558554732000596
2015-07-01,-0.2,0.0,-0.027817083882301297,-0.28147212435611446,0.6575541125666667,1.09,13.21,2735.585374029687,460.7097886688851,1469.9159220543793,-1.598649752759144,-0.2463651392509778
2015-10-01,-0.3,-0.09999999999999998,-0.08917604617604624,-0.34059778032286403,0.5266240981333333,1.09,14.87,2736.223668623454,460.8999452464453,1470.678757236607,-2.2479099933617666,-0.6492602406026227
2016-01-01,-0.4,-0.10000000000000003,-0.18608174603174632,-0.4628205584051385,0.25826190476666666,1.06,14.29,2737.571845951377,461.4070737159136,1471.2831563583857,-2.783839587231435,-0.5359295938696684
2016-04-01,-0.4,0.0,-0.258093795093795,-0.542110204946351,0.08344155846666668,1.02,14.27,2738.3741109839534,461.72769049543564,1472.0330821494838,-2.943120128156322,-0.15928054092488697
2016-07-01,-0.4,0.0,-0.298125854821507,-0.6504693915061651,-0.12337191793333331,1.03,14.42,2738.726916276902,461.8845761374951,1472.7853373729579,-3.5656672338455824,-0.6225471056892604
2016-10-01,-0.4,0.0,-0.312481240981241,-0.762100666744095,0.14766522366666668,1.06,15.08,2739.541016860887,462.31772457333875,1473.6240355922857,-2.7423984852444545,0.8232687486011279
2017-01-01,-0.4,0.0,-0.32783109354413736,-0.7953792936740324,0.2857233201666667,1.0,14.77,2741.0009041402877,462.58555676099587,1474.3014321499118,-2.1374467955657326,0.6049516896787219
2017-04-01,-0.4,0.0,-0.3299478114478113,-0.7409000453152006,0.2707984608333333,0.98,14.98,2742.4642494540803,463.12830250666065,1475.1790697075771,-1.928258768961262,0.20918802660447056
2017-07-01,-0.4,0.0,-0.3296321601104207,-0.724456099260458,0.3829813664333333,0.95,15.88,2743.5458684375103,463.5818809024444,1476.1202280275595,-1.8647138551496711,0.06354491381159089
2017-10-01,-0.4,0.0,-0.32881339712918667,-0.7822414624914381,0.3258413078333333,0.98,16.25,2744.9143060773204,464.0062027928797,1477.101879785837,-1.9114786700829611,-0.04676481493328999
2018-01-01,-0.4,0.0,-0.32828643578643596,-0.6718393120769638,0.5543564213333334,0.84,15.35,2744.7456386715876,464.4430974473231,1478.0333897033388,-1.2131185182123418,0.6983601518706193
2018-04-01,-0.4,0.0,-0.32524163059163064,-0.6776723703319517,0.4190476190333334,0.88,15.4,2746.049729140135,464.93746861585,1479.0537887320825,-1.262273140392044,-0.04915462217970212
2018-07-01,-0.4,0.0,-0.3195257575757577,-0.6653850299202058,0.31197167323333336,0.91,15.5,2745.7485251663716,465.5689591828249,1480.3628062032908,-1.4195203530212608,-0.15724721262921681
2018-10-01,-0.4,0.0,-0.31531800845988467,-0.7039966995708068,0.3000802139,1.04,15.38,2747.3342219257847,466.29700933296937,1481.5895716662435,-1.2585859379783686,0.1609344150428922
2019-01-01,-0.4,0.0,-0.3085468253968253,-0.5956010811279476,0.06639321790000001,0.92,15.36,2748.1558927926303,466.4359287118806,1482.704843735323,-1.6809078454968416,-0.422321907518473
2019-04-01,-0.4,0.0,-0.31707121212121203,-0.62165374021382,-0.1631028708,0.99,14.33,2748.711148376814,467.02847326260206,1484.2811217474941,-2.229125920389082,-0.5482180748922405
2019-07-01,-0.5,-0.09999999999999998,-0.39670760399021265,-0.7715982914566095,-0.5440378945000001,0.98,14.26,2749.438548155589,467.77452705466,1485.6322462067435,-3.8010388308985963,-1.5719129105095142
2019-10-01,-0.5,0.0,-0.4029517598343683,-0.6702383127938005,-0.3737902837666667,1.05,15.04,2750.417816288324,468.4558091901931,1486.7206509086093,-3.2857957831215665,0.5152430477770298
2020-01-01,-0.5,0.0,-0.4055409090909093,-0.6779279697819203,-0.4403333333333333,1.0,14.37,2749.283777690322,469.10427926836667,1487.7066438569136,-2.5152862437136467,0.7705095394079198
2020-04-01,-0.5,0.0,-0.3006666666666667,-0.6174826982521057,-0.4667619047666667,0.97,14.83,2740.6347644883754,470.1274239777069,1489.4840124162265,-2.3966787841918253,0.11860745952182139
2020-07-01,-0.5,0.0,-0.4717361189535103,-0.6372423091255274,-0.5234892402333333,0.93,15.46,2747.610030629411,468.5632922474002,1490.2705246532644,-2.477503656614483,-0.08082487242265746
2020-10-01,-0.5,0.0,-0.5226948051948054,-0.7270324244760122,-0.6135115440333334,0.94,15.9,2749.235542245293,469.40687917394354,1491.063923032536,-2.7423680641898613,-0.26486440757537855
2021-01-01,-0.5,0.0,-0.542445652173913,-0.6817923451480228,-0.46459420290000003,0.87,15.44,2749.4574621377205,470.9096940932871,1491.9708661325853,-2.358996961006913,0.3833711031829483
2021-04-01,-0.5,0.0,-0.5403847763347763,-0.6869436935186485,-0.27904545453333335,0.84,15.74,2751.7319240994957,470.9766374051772,1493.063258555071,-2.0281967744898766,0.33080018651703647
2021-07-01,-0.5,0.0,-0.5458181818181816,-0.7270800543433031,-0.4509090909,0.82,15.6,2754.3307310475616,472.9094959427125,1494.358067290224,-2.0980098079982397,-0.0698130335083631
2021-10-01,-0.5,0.0,-0.5663765606374299,-0.7711943532035069,-0.3007359307333333,0.88,15.5,2755.554620994632,474.12403701158803,1496.0072684595361,-1.104579991634524,0.9934298163637156
2022-01-01,-0.5,0.0,-0.529025879933851,-0.6440142765325547,0.1056590752,0.84,15.32,2757.8558717352307,475.42771353983386,1497.7312750460965,-0.45508182434162436,0.6494981672928997
2022-04-01,-0.5,0.0,-0.35761642743221705,-0.09147505928284842,1.0480143540666667,0.86,15.14,2759.0575092389013,476.75900800570423,1499.6804530681147,0.13309197029585612,0.5881737946374805
2022-07-01,0.375,0.875,0.4807406048058236,0.5990098632581939,1.3039023778333334,0.86,14.87,2760.0544382517064,477.39517448146825,1502.22642919185,0.9641465815365446,0.8310546112406885
2022-10-01,1.75,1.375,1.7721233766233766,2.0034943889010672,2.1127561327666666,1.0,15.87,2762.192587937802,479.9404246925753,1503.4699211876457,2.406973720705214,1.4428271391686693
2023-01-01,2.75,1.0,2.631926284584983,2.7882159535012936,2.3155685112,1.07,16.02,2763.994220442218,481.74206209889576,1503.4704727297476,3.1516502412917298,0.7446765205865158
2023-04-01,3.375,0.625,3.356432806324113,3.0694670557019275,2.3593602693666664,1.13,16.38,2765.586786298106,483.1956502038254,1503.9362163155697,3.5083048601693836,0.3566546188776538
2023-07-01,3.875,0.5,3.7773871635610767,3.44153993286,2.554582470666667,1.13,16.36,2766.350476285222,484.08904764563505,1504.1617093979503,3.852122220311377,0.3438173601419936
2023-10-01,3.875,0.0,3.957455988455987,3.3362831094301586,2.5088835726,1.17,16.81,2766.350476285222,484.08904764563505,1504.2278175197423,3.649820347827656,-0.2023018724837211
2024-01-01,3.875,0.0,3.9236147186147203,3.2256574667666666,2.2853167388,1.1,16.51,2766.350476285222,484.08904764563505,1504.257684329241,3.5082068348345445,-0.14161351299311153
2024-04-01,3.75,-0.125,3.808171936758893,3.258066867679365,2.4832532467333333,1.07,16.63,2766.350476285222,484.08904764563505,1504.4540493801342,3.5675258272331214,0.05931899239857685
2024-07-01,3.5,-0.25,3.5553770939205704,2.834862513457576,2.2777103331333333,1.02,16.59,2766.350476285222,484.08904764563505,1504.6869222878827,3.134941681647609,-0.4325841455855124
2024-10-01,3.125,-0.375,2.9964871698349937,2.326711740726984,2.2380561306666666,1.06,17.21,2766.350476285222,484.08904764563505,1504.9221954193868,2.5353919645504015,-0.5995497170972075
2025-01-01,2.625,-0.5,2.5568363354,2.1887812707793652,2.543521645,1.02,17.24,2766.350476285222,484.08904764563505,1505.2525024366776,2.312963616589141,-0.22242834796126054
2025-04-01,2.125,-0.5,2.1076911977,1.8223808436435485,2.5308015873,1.04,17.25,2766.350476285222,484.08904764563505,1505.5876523992654,1.8280410635548237,-0.4849225530343173
2025-07-01,,,2.0115719305,1.8734979863651515,2.6659398331,1.05,17.39,2766.350476285222,484.08904764563505,1506.0832289956807,1.783202939440973,-0.044838124113850686
2025-10-01,,,2.040622463766667,1.9477280748953125,2.696512204433333,1.07,17.46,2766.350476285222,484.08904764563505,1506.4773312613956,1.83674956361126,0.053546624170287105
2026-01-01,,,2.0277272727,,2.820555555566667,,,2766.350476285222,484.08904764563505,,1.9155848818949748,0.0788353182837147
2026-04-01,,,,,3.0237499999999997,,,2766.350476285222,484.08904764563505,,2.2719401964192434,0.3563553145242686
